Number,Long Description (Family),Compatible Standard,Manufacturer,Material,Material Code,Long Description (Size),Short Description,Spec,Size,Line Number Tag,Design Std,Content Iso Symbol Definition,Design Pressure Factor,End Type,Engagement Length,Facing,Flange Std,Gasket Std,Port Unit,Nominal Diameter,X Coordinate (Port 1),Y Coordinate (Port 1),COP Elevation (Port 1),Pressure Class,Schedule,Status,Wall Thickness,Weight,Weight Unit,Required Spec,Insulation Thickness,Insulation Type,Service,Tag,Tie In Number,Shop/Field,DWG Number,PnPID,Item Code,Matching Pipe OD,Flange Thickness,Center of Gravity X,Center of Gravity Y,Center of Gravity Z,Tracing Type,Tracing Spec,Insulation Spec,Spool Number,Unit,Top of Pipe,Bottom of Pipe,Length,Valve Alignment,Valve Detail,Valve Body Type,Flow Dependent,Offset,Operator Type,Actuator Type,Actuator Height,Actuator Width,Control Valve,Valve Code,Normally,Failure,End Connections,Code
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1071,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,618.1707,461.977843,137.905503,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,602,,4.5,,,,,,,,,,140.155503,135.655503,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
108,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1065,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,180,349.5,53.819,300,,New,,,,,,,,HA-108,,SHOP,1-PE-001,674,,4.5,,,,,,,,,,56.069,51.569,12,Inline,Continuous,Gate,False,False,Manual,HandWheel,27,15.75,False,,NO,,Unspecified,HA
,"Gate Valve, Solid Wedge, 150 LB, SW, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 1"" ND, 150 LB, SW, ASME B16.10, 5"" LG, ASTM A216 GR WPB, HAND WHEEL, H=15"", W=8""",Gate Valve,CS150,"1""",1015,Solid Wedge,"SKEY=VTSW,TYPE=VALVE",,SW,0.5,,,,in,1,1899.42972,1790.404129,171.364676,150,,New,,,,,,,ME,?-?,,SHOP,1-PE-001,711,,1.315,,,,,,,,,,172.022176,170.707176,5,Inline,Continuous,Gate,False,,Manual,HandWheel,15,8,,,,,,
,"Butterfly Valve, Offset, 150 LB, LUG, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"BUTTERFLY VALVE, OFFSET, 6"" ND, 150 LB, LUG, RF, ASME B16.10, 2 1/4"" LG, ASTM A216 GR WPB, HAND LEVER, H=8 3/4"", W=10 1/2""",Butterfly Valve,CS150,"6""",1066,Offset,"SKEY=VYFL,TYPE=VALVE",,LUG,0,RF,ASME B16.5,,in,6,110.895541,498.794735,269.06,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,980,,6.63,,,,,,,,,,272.375,265.745,2.25,Inline,Continuous,Butterfly,False,,Manual,HandLever,8.75,10.5,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1050,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,197.000006,397.576139,130.135815,300,,New,,,,,,,BFW,?-?,,SHOP,1-PE-001,1199,,4.5,,,,,,,,,,132.385815,127.885815,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Solid Wedge, 300 LB, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Wheel",ASME B16.10,,CS,ASTM A216 Gr WPB,"GATE VALVE, SOLID WEDGE, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A216 GR WPB, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1050,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,197.000006,355.032639,130.135815,300,,New,,,,,,,BFW,?-?,,SHOP,1-PE-001,1219,,4.5,,,,,,,,,,132.385815,127.885815,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Double Disc, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, DOUBLE DISC, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1009,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,918.662664,511.495915,41.88937,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,1316,,6.625,,,,,,,,,,45.20187,38.57687,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
,"Butterfly Valve, Offset, 150 LB, WFR, RF, ASME B16.10, ASTM A216 Gr WPB, Hand Lever",ASME B16.10,,CS,ASTM A216 Gr WPB,"BUTTERFLY VALVE, OFFSET, 6"" ND, 150 LB, WFR, RF, ASME B16.10, 2 1/4"" LG, ASTM A216 GR WPB, HAND LEVER, H=8 3/4"", W=10 1/2""",Butterfly Valve,CS150,"6""",1067,Offset,"SKEY=VYFL,TYPE=VALVE",,WF,0,RF,ASME B16.5,,in,6,111.506766,508.325189,293.06,150,,New,,,,,,,,?-?,,SHOP,1-PE-001,1432,,6.63,,,,,,,,,,296.375,289.745,2.25,Inline,Continuous,Butterfly,False,,Manual,HandLever,8.75,10.5,,,,,,
,"Gate Valve, Double Disc, 300 LB, RF, ASME B16.10, ASTM A 351 Gr CF8M, Hand Wheel",ASME B16.10,,CS,ASTM A 351 Gr CF8M,"GATE VALVE, DOUBLE DISC, 4"" ND, 300 LB, RF, ASME B16.10, 12"" LG, ASTM A 351 GR CF8M, HAND WHEEL, H=27"", W=15 3/4""",Gate Valve,CS300,"4""",1071,Double Disc,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,4,594,325,53.439,300,,New,,,,,,,,?-?,,SHOP,1-PE-001,1611,,4.5,,,,,,,,,,55.689,51.189,12,Inline,Continuous,Gate,False,,Manual,HandWheel,27,15.75,,,,,,
,"Gate Valve, Solid Wedge, 150 LB, RF, ASME B16.10",ASME B16.10,,CS,ASTM A216 Gr WPB ,"GATE VALVE W. HAND WHEEL, SOLID WEDGE, 6"" ND, 150 LB, RF, ASME B16.10, 10 1/2"" LG, ASTM A216 GR WPB ",Gate Valve,CS150,"6""",1009,Solid Wedge,"SKEY=VTFL,TYPE=VALVE",,FL,0,RF,,,in,6,918.662664,460.903583,41.88937,150,,New,,,,,,,CWS,?-?,,SHOP,1-PE-001,1650,,6.625,,,,,,,,,,45.20187,38.57687,10.5,Inline,Continuous,Gate,False,,Manual,HandWheel,33.25,15.75,,,,,,
